tests/js/testobjs.nim JS -d:nodejs                          ( 0.26949859 secs)
tests/js/testobjs.nim JS -d:nodejs -d:release               ( 0.27983308 secs)
tests/js/testtojsstr.nim JS -d:nodejs                       ( 0.25980520 secs)
tests/js/testtojsstr.nim JS -d:nodejs -d:release            ( 0.26113892 secs)
tests/js/tfieldchecks.nim JS -d:nodejs                      ( 0.26594377 secs)
tests/js/tfieldchecks.nim JS -d:nodejs -d:release           ( 0.34026289 secs)
tests/js/tfloatround.nim JS -d:nodejs                       ( 0.29178739 secs)
tests/js/tfloatround.nim JS -d:nodejs -d:release            ( 0.27976418 secs)
tests/js/timplicit_nodecl.nim JS -d:nodejs                  ( 0.28679323 secs)
tests/js/timplicit_nodecl.nim JS -d:nodejs -d:release       ( 0.25286126 secs)
tests/js/tjsffi.nim JS -d:nodejs                            ( 0.36363053 secs)
tests/js/tjsffi.nim JS -d:nodejs -d:release                 ( 0.36381745 secs)
tests/js/tjsffi_old.nim JS -d:nodejs                        ( 0.38260531 secs)
tests/js/tjsffi_old.nim JS -d:nodejs -d:release             ( 0.37689257 secs)
tests/js/tjshello.nim JS -d:nodejs                          ( 0.28468156 secs)
tests/js/tjshello.nim JS -d:nodejs -d:release               ( 0.28695345 secs)
tests/js/tmangle.nim JS -d:nodejs                           ( 0.25538564 secs)
tests/js/tmangle.nim JS -d:nodejs -d:release                ( 0.31962347 secs)
tests/js/tnativeexc.nim JS -d:nodejs                        ( 0.34933782 secs)
tests/js/tnativeexc.nim JS -d:nodejs -d:release             ( 0.34379697 secs)
tests/js/tnilstrs.nim JS -d:nodejs                          ( 0.27183604 secs)
tests/js/tnilstrs.nim JS -d:nodejs -d:release               ( 0.28757691 secs)
tests/js/tobjfieldbyvar.nim JS -d:nodejs                    ( 0.27978182 secs)
tests/js/tobjfieldbyvar.nim JS -d:nodejs -d:release         ( 0.26377869 secs)
tests/js/tos.nim JS -d:nodejs                               ( 0.76382446 secs)
tests/js/tos.nim JS -d:nodejs -d:release                    ( 0.65583253 secs)
tests/js/trefbyvar.nim JS -d:nodejs                         ( 0.25558090 secs)
tests/js/trefbyvar.nim JS -d:nodejs -d:release              ( 0.25609136 secs)
tests/js/trepr.nim JS -d:nodejs                             ( 0.29775834 secs)
tests/js/trepr.nim JS -d:nodejs -d:release                  ( 0.29785371 secs)
tests/js/tseqops.nim JS -d:nodejs                           ( 0.41373134 secs)
tests/js/tseqops.nim JS -d:nodejs -d:release                ( 0.29975796 secs)
tests/js/tstring_assignment.nim JS -d:nodejs                ( 0.26371980 secs)
tests/js/tstring_assignment.nim JS -d:nodejs -d:release     ( 0.25578237 secs)
tests/js/tstringitems.nim JS -d:nodejs                      ( 0.26776671 secs)
tests/js/tstringitems.nim JS -d:nodejs -d:release           ( 0.29630542 secs)
tests/js/tthismangle.nim JS -d:nodejs                       ( 0.30009937 secs)
tests/js/tthismangle.nim JS -d:nodejs -d:release            ( 0.27179766 secs)
tests/js/ttryexceptnewsyntax.nim JS -d:nodejs               ( 0.26377010 secs)
tests/js/ttryexceptnewsyntax.nim JS -d:nodejs -d:release    ( 0.28381348 secs)
tests/js/tunittests.nim JS -d:nodejs                        ( 0.72375393 secs)
tests/js/tunittests.nim JS -d:nodejs -d:release             ( 0.70781302 secs)
tests/js/tvarargs.nim JS -d:nodejs                          ( 0.25180483 secs)
tests/js/tvarargs.nim JS -d:nodejs -d:release               ( 0.25181150 secs)
tests/exception/texceptions.nim JS -d:nodejs                ( 0.27454090 secs)
tests/exception/texceptions.nim JS -d:nodejs -d:release     ( 0.26410866 secs)
tests/exception/texcpt1.nim JS -d:nodejs                    ( 0.29581308 secs)
tests/exception/texcpt1.nim JS -d:nodejs -d:release         ( 0.31578135 secs)
tests/exception/texcsub.nim JS -d:nodejs                    ( 0.42995143 secs)
tests/exception/texcsub.nim JS -d:nodejs -d:release         ( 0.28195524 secs)
tests/exception/tfinally.nim JS -d:nodejs                   ( 0.27690148 secs)
tests/exception/tfinally.nim JS -d:nodejs -d:release        ( 0.27166128 secs)
tests/exception/tfinally2.nim JS -d:nodejs                  ( 0.43796349 secs)
tests/exception/tfinally2.nim JS -d:nodejs -d:release       ( 0.26841831 secs)
tests/exception/tfinally3.nim JS -d:nodejs                  ( 0.32975578 secs)
tests/exception/tfinally3.nim JS -d:nodejs -d:release       ( 0.25791144 secs)
tests/actiontable/tactiontable.nim JS -d:nodejs             ( 0.43979311 secs)
tests/actiontable/tactiontable.nim JS -d:nodejs -d:release  ( 0.33160377 secs)
tests/method/tmultimjs.nim JS -d:nodejs                     ( 0.26779580 secs)
tests/method/tmultimjs.nim JS -d:nodejs -d:release          ( 0.30649447 secs)
tests/varres/tvarres0.nim JS -d:nodejs                      ( 0.26320720 secs)
tests/varres/tvarres0.nim JS -d:nodejs -d:release           ( 0.30529141 secs)
tests/varres/tvarres3.nim JS -d:nodejs                      ( 0.29978609 secs)
tests/varres/tvarres3.nim JS -d:nodejs -d:release           ( 0.25438786 secs)
tests/varres/tvarres4.nim JS -d:nodejs                      ( 0.31556964 secs)
tests/varres/tvarres4.nim JS -d:nodejs -d:release           ( 0.31562281 secs)
tests/varres/tvartup.nim JS -d:nodejs                       ( 0.28380537 secs)
tests/varres/tvartup.nim JS -d:nodejs -d:release            ( 0.29147625 secs)
tests/misc/tints.nim JS -d:nodejs                           ( 0.27737713 secs)
tests/misc/tints.nim JS -d:nodejs -d:release                ( 0.27020836 secs)
tests/misc/tunsignedinc.nim JS -d:nodejs                    ( 0.28776217 secs)
tests/misc/tunsignedinc.nim JS -d:nodejs -d:release         ( 0.25580883 secs)
tests/async/tjsandnativeasync.nim JS -d:nodejs              ( 1.22047830 secs)
tests/async/tjsandnativeasync.nim JS -d:nodejs -d:release   ( 1.21689224 secs)
lib/pure/strutils.nim JS -d:nodejs                          ( 0.65359139 secs)
lib/pure/strutils.nim JS -d:nodejs -d:release               ( 0.65931273 secs)
lib/pure/json.nim JS -d:nodejs                              ( 0.81176877 secs)
lib/pure/json.nim JS -d:nodejs -d:release                   ( 0.75977230 secs)
lib/pure/random.nim JS -d:nodejs                            ( 0.69960713 secs)
lib/pure/random.nim JS -d:nodejs -d:release                 ( 0.74003839 secs)
lib/pure/times.nim JS -d:nodejs                             ( 0.61021090 secs)
lib/pure/times.nim JS -d:nodejs -d:release                  ( 0.69264627 secs)
lib/pure/logging.nim JS -d:nodejs                           ( 0.70357132 secs)
lib/pure/logging.nim JS -d:nodejs -d:release                ( 0.58842158 secs)
tests/ambsym/tambsym.nim C                                  ( 0.30220747 secs)
tests/ambsym/tambsym3.nim C                                 ( 0.74973345 secs)
tests/cpp/t10148.nim C                                      ( 1.33555532 secs)
tests/cpp/t10241.nim C++                                    ( 0.93777680 secs)
tests/cpp/t6986.nim C++                                     ( 1.31986451 secs)
tests/cpp/t8241.nim C++                                     ( 2.23135424 secs)
tests/cpp/t9013.nim C++                                     ( 1.49320316 secs)
tests/cpp/tasync_cpp.nim C++                                ( 2.69651961 secs)
tests/cpp/tcasts.nim C++                                    ( 0.92326593 secs)
tests/cpp/tcovariancerules.nim C++                          ( 0.81610632 secs)
tests/cpp/tcppraise.nim C++                                 ( 0.74781609 secs)
tests/cpp/tembarrassing_generic_bug.nim C++                 ( 0.75118923 secs)
tests/cpp/temitlist.nim C++                                 ( 0.86382604 secs)
tests/cpp/tempty_generic_obj.nim C++                        ( 0.96357489 secs)
tests/cpp/tenum_set.nim C++                                 ( 0.78382397 secs)
tests/cpp/tevalorder.nim C++                                ( 0.69985867 secs)
tests/cpp/texportc.nim C                                    ( 0.66762018 secs)
tests/cpp/texportc.nim C++                                  ( 1.31824565 secs)
tests/cpp/tgen_prototype_for_importc.nim C++                ( 0.76946115 secs)
tests/cpp/tget_subsystem.nim C++                            ( 0.71044016 secs)
tests/cpp/tnativesockets.nim C++                            ( 1.25178909 secs)
tests/cpp/treturn_array.nim C++                             ( 0.69989967 secs)
tests/cpp/tretvar.nim C++                                   ( 0.94757295 secs)
tests/cpp/tsigbreak.nim C++                                 ( 0.87120366 secs)
